;submission_id;user_id;location_name;submission_timestamp;questions_134999_where_are_you_eating_at_the_moment;questions_135005_who_are_you_with;questions_134999_where_are_you_eating_at_the_moment;questions_135000_which_of_the_following_best_describes_where_you_got_your_food_from_today;questions_135004_what_else_if_anything_are_you_doing_while_eating_your_food_for_example_are_you_also_watching_tv_checking_social_media_cooking_etc_coded;questions_135022_who_prepared_the_food;level2dish_coded;questions_135019_what_are_the_main_reasons_that_you_chose_this_food_right_now_if_you_are_having_more_than_one_item_please_write_about_the_main_item_you_are_having_please_be_as_detailed_as_you_can_coded;questions_135020_what_other_food_if_any_did_you_consider_having_instead_coded;questions_223649_149206_210007_finally_which_best_describes_the_food_you_are_having_today
10;24;3706940960;South Africa;25/06/2019 15:36;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it together with friends / family;"[""Dried fruit""]";"[""It's my favourite""]";"[""Potatoes""]";Snack
11;26;3355585447;South Africa;24/01/2019 17:37;At my home;"[""Other family members""]";At my home;I had it at home / brought it from home;"[""Nothing""]";I prepared it myself from scratch;"[""Chicken"", ""Other grains""]";"[""It's what I wanted""]";"[""Nothing""]";Dinner
12;28;4717744772;South Africa;27/04/2019 02:01;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Browsing social media"", ""Playing games""]";It was premade / ready to eat;"[""Dried fruit""]";"[""I wanted a snack""]";"[""Meat""]";Treat
13;30;5096753750;South Africa;02/05/2019 16:21;At my home;"[""My spouse/partner""]";At my home;Kiosk / Stall;"[""Watching TV""]";It was premade / ready to eat;"[""Cake""]";"[""I was hungry"", ""I wanted something sweet""]";"[""Nothing""]";Dinner
14;31;1288031297;South Africa;21/02/2019 01:26;Cafe / restaurant / bar / hotel;"[""Alone""]";Cafe / restaurant / bar / hotel;;"[""Browsing social media""]";;"[""Savoury snacks""]";"[""To relax""]";"[""Nothing""]";Snack
15;37;868296650;South Africa;28/04/2019 10:07;On the go / outdoors;"[""Other family members""]";On the go / outdoors;;"[""Nothing""]";I prepared it together with friends / family;"[""Cured sausage"", ""Soft cheese/ cheese spread"", ""Bread/ roll/ baguette"", ""Egg-based dish""]";"[""Other""]";"[""Dairy"", ""Breads"", ""Milk / flavoured milk / milk alternatives""]";Breakfast
16;39;261798720;South Africa;04/02/2019 18:23;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV"", ""Spending time with family""]";It was premade / ready to eat;"[""Custards/ sweet puddings""]";"[""I like the taste"", ""It's my habit / routine"", ""It's refreshing""]";"[""Desserts""]";Dinner
17;42;703002446;South Africa;06/04/2019 09:37;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Nothing""]";Someone else prepared it;"[""Egg-based dish"", ""Bread/ roll/ baguette"", ""Soft cheese/ cheese spread"", ""Honey / syrup"", ""Olives""]";"[""Someone prepared it for me""]";"[""Nothing""]";Breakfast
18;46;4583028576;South Africa;27/04/2019 07:57;At my home;"[""Alone""]";At my home;;"[""Browsing social media""]";Someone else prepared it;"[""Broccolli, cabbage, cauliflower""]";"[""It's light / not filling""]";"[""Nothing""]";Lunch
19;47;26773310;South Africa;26/01/2019 15:57;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Browsing social media""]";It was premade / ready to eat;"[""Potato crisps""]";"[""It's light / not filling"", ""It's what I wanted""]";"[""Sweet pastry / baked goods""]";Snack
20;48;1249547247;South Africa;16/05/2019 08:31;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Fried sweets (e.g. churros, donuts)""]";"[""It's what I wanted"", ""I wanted to treat myself""]";"[""Savoury snacks""]";Treat
21;50;1601484149;South Africa;30/01/2019 01:48;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Working / studying""]";Someone else prepared it;"[""Pasta with vegetables""]";"[""It's what I wanted""]";"[""Dairy"", ""Meat""]";Dinner
22;57;6987926964;South Africa;16/07/2019 15:05;At school / work;"[""Alone""]";At school / work;Supermarket / Hypermarket / Grocery Store ;"[""Working / studying""]";It was premade / ready to eat;"[""Potato crisps""]";"[""I was hungry""]";"[""Nothing""]";Snack
23;60;5953679300;South Africa;02/07/2019 16:55;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Tropical and exotic fruit"", ""Citrus fruit""]";"[""It's a healthy choice""]";"[""Fruit""]";Lunch
24;62;1530218349;South Africa;31/01/2019 15:51;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Chocolate sweets/ snacks""]";"[""It's what I wanted"", ""I had a craving""]";"[""Nothing""]";Treat
25;64;6920756868;South Africa;30/06/2019 06:40;At my home;"[""Other family members""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Olives"", ""Soft cheese/ cheese spread"", ""Bread/ roll/ baguette"", ""Jam"", ""Plain nuts""]";"[""It's a healthy choice""]";"[""Other Dishes""]";Breakfast
26;66;2771744552;South Africa;26/01/2019 14:59;At my home;"[""Alone""]";At my home;Cafe / restaurant;"[""Talking to someone""]";;"[""Savoury snacks""]";"[""I like the taste""]";"[""Other dishes""]";Snack
27;68;3602231070;South Africa;01/05/2019 03:04;At my home;"[""Alone""]";At my home;;"[""Listening to music""]";Someone else prepared it;"[""Plain rice""]";"[""I like the taste"", ""Convenient""]";"[""Other dishes""]";Snack
28;75;1218046974;South Africa;10/05/2019 13:04;At school / work;"[""Alone""]";At school / work;Supermarket / Hypermarket / Grocery Store ;"[""Working / studying""]";It was premade / ready to eat;"[""Candy""]";"[""I like the taste""]";"[""Nothing""]";Treat
29;78;3878082336;South Africa;21/02/2019 12:36;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Listening to music""]";I prepared it myself from scratch;"[""Apples and pears""]";"[""It's my habit / routine""]";"[""Coffee""]";Breakfast
30;81;1189173122;South Africa;24/05/2019 08:16;At my home;"[""My spouse/partner""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Browsing social media""]";It was premade / ready to eat;"[""Dried fruit""]";"[""It's a healthy choice""]";"[""Milk / flavoured milk / milk alternatives"", ""Fruit""]";Breakfast
31;87;1851834600;South Africa;10/05/2019 18:44;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Cake""]";"[""I wanted to treat myself""]";"[""Nothing""]";Treat
32;89;5660006853;South Africa;04/05/2019 07:01;At my home;"[""Alone""]";At my home;;"[""Relaxing / laying down""]";I prepared it myself from scratch;"[""Biscuits with filling""]";"[""I was hungry"", ""I had a craving"", ""I was hungry""]";"[""Juice / juice drinks""]";Snack
33;91;4085268999;South Africa;11/06/2019 03:46;At my home;"[""Alone""]";At my home;;"[""Browsing social media""]";I prepared it together with friends / family;"[""Plain rice""]";"[""It's what I wanted""]";"[""Rice / pasta / grains / pulses""]";Breakfast
34;92;845188170;South Africa;01/05/2019 11:59;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Biscuits""]";"[""It's my favourite"", ""I wanted a snack""]";"[""Breads""]";Breakfast
35;96;7938156945;South Africa;02/08/2019 10:27;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Potato crisps""]";"[""Convenient""]";"[""Rice / pasta / grains / pulses""]";Snack
36;98;5231333862;South Africa;06/07/2019 08:12;At my home;"[""Other family members""]";At my home;;"[""Watching TV""]";Someone else prepared it;"[""Tropical and exotic fruit""]";"[""It's my habit / routine""]";"[""Sweet pastry / baked goods""]";Lunch
37;101;6201189388;South Africa;09/06/2019 16:55;At my home;"[""Alone""]";At my home;;"[""Browsing social media""]";I prepared it myself from scratch;"[""Fried potatoes/ sweet potatoes""]";"[""I wanted a snack""]";"[""Nothing""]";Snack
38;102;1485721965;South Africa;24/05/2019 17:58;At my home;"[""My spouse/partner""]";At my home;Other;"[""Watching TV""]";It was premade / ready to eat;"[""Berries / cherries / grapes""]";"[""It's a healthy choice"", ""I like the taste""]";"[""Nothing""]";Snack
39;108;6960142220;South Africa;22/08/2019 12:08;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Nothing""]";It was premade / ready to eat;"[""Chocolate bar""]";"[""Quick""]";"[""Cereals / porridge""]";Snack
40;111;2493968;South Africa;04/04/2019 10:35;At my home;"[""Alone""]";At my home;Deli / Sandwich Store / Bakery;"[""Watching TV""]";;"[""Bread/ roll/ baguette"", ""Cured meats"", ""Hard cheese""]";"[""It's my habit / routine""]";"[""Nothing""]";Breakfast
41;115;6883124640;South Africa;24/07/2019 15:42;At my home;"[""My spouse/partner""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Rice with vegetables"", ""Other vegetable dish"", ""Other vegetable dish""]";"[""It's my habit / routine""]";"[""Nothing""]";Dinner
42;122;5824563876;South Africa;23/05/2019 05:17;At my home;"[""Alone""]";At my home;;"[""Nothing""]";I prepared it myself from scratch;"[""Bread/ roll/ baguette"", ""Honey / syrup""]";"[""It's my favourite""]";"[""Nothing""]";Breakfast
43;123;3411103688;South Africa;30/01/2019 21:51;At my home;"[""My spouse/partner""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Other""]";I prepared it myself from scratch;"[""Plain rice""]";"[""Energy boost""]";"[""Nothing""]";Breakfast
44;130;6524135960;South Africa;19/07/2019 13:47;At my home;"[""Alone""]";At my home;;"[""On my phone""]";I prepared it myself using a meal starter;"[""Porridge/ oatmeal""]";"[""Convenient"", ""Cheap"", ""I like the taste""]";"[""Rice / pasta / grains / pulses""]";Dinner
45;131;3646973000;South Africa;04/04/2019 18:37;At school / work;"[""Alone""]";At school / work;I had it at home / brought it from home;"[""Watching TV""]";I made it myself with some ready made ingredients;"[""Meat soup""]";"[""It's my habit / routine""]";"[""Nothing""]";Dinner
46;135;3486591640;South Africa;13/02/2019 23:07;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Bread/ roll/ baguette""]";"[""It's what I wanted""]";"[""Breads""]";Breakfast
47;137;1475072886;South Africa;29/01/2019 01:04;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Nothing""]";I prepared it myself using a meal starter;"[""Pork"", ""Bread/ roll/ baguette"", ""Pasta with meat""]";"[""It's what I wanted""]";"[""Nothing""]";Dinner
48;140;3116259594;South Africa;01/02/2019 18:47;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Browsing social media""]";I prepared it myself from scratch;"[""Pork"", ""Other potatoes/ sweet potatoes"", ""Green salad ""]";"[""I like the taste""]";"[""Rice / pasta / grains / pulses"", ""Rice / pasta / grains / pulses""]";Dinner
49;145;3015874902;South Africa;04/02/2019 17:00;At my home;"[""My children""]";At my home;I had it at home / brought it from home;"[""Browsing social media""]";I prepared it myself from scratch;"[""Egg-based dish"", ""Mushroom""]";"[""Quick""]";"[""Nothing""]";Dinner
50;146;3409011369;South Africa;30/01/2019 13:25;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";I prepared it myself from scratch;"[""Plain yoghurt (sweet)""]";"[""It's what I wanted"", ""I had a craving""]";"[""Nothing""]";Lunch
51;147;3652312068;South Africa;19/02/2019 16:12;At my home;"[""Other family members""]";At my home;I had it at home / brought it from home;"[""Talking to someone""]";Someone else prepared it;"[""Chicken""]";"[""Easy to prepare""]";"[""Rice / pasta / grains / pulses"", ""Eggs""]";Lunch
52;151;747837225;South Africa;01/05/2019 10:29;At school / work;"[""Colleagues""]";At school / work;;"[""Reading""]";Someone else prepared it;"[""Bread/ roll/ baguette"", ""Bread/ roll/ baguette"", ""Vegetable curry"", ""Vegetable curry"", ""Soft desserts""]";"[""I was hungry""]";"[""Nothing""]";Lunch
53;155;2654353800;South Africa;12/01/2019 00:02;At someone else's home;"[""Friends""]";At someone else's home;Work / school cafeteria;"[""Reading""]";;"[""Crackers/ wafers""]";"[""Convenient""]";"[""Sweet pastry / baked goods"", ""Sweet pastry / baked goods""]";Treat
54;158;0;South Africa;04/04/2019 08:11;At school / work;"[""Colleagues""]";At school / work;Supermarket / Hypermarket / Grocery Store ;"[""Working / studying""]";It was premade / ready to eat;"[""Potato crisps""]";"[""I wanted a snack"", ""It's my favourite""]";"[""Nothing""]";Breakfast
55;162;3292547715;South Africa;26/04/2019 17:35;At someone else's home;"[""Alone""]";At someone else's home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Cake""]";"[""I was hungry""]";"[""Nothing""]";Snack
56;164;25079746536;South Africa;09/02/2019 08:52;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Working / studying""]";Someone else prepared it;"[""Savoury pastry"", ""Vegetable curry"", ""Savoury snacks"", ""Beans"", ""Salad vegetables""]";"[""No specific reason"", ""It's my habit / routine""]";"[""Breads"", ""Curry / stew / soup""]";Lunch
57;167;4821810150;South Africa;12/05/2019 16:05;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Browsing social media""]";It was premade / ready to eat;"[""Instant noodles""]";"[""It's a healthy choice""]";"[""Curry / stew / soup""]";Breakfast
58;175;5979965684;South Africa;25/05/2019 19:40;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Plain rice"", ""Other potatoes/ sweet potatoes""]";"[""Other""]";"[""Milk / flavoured milk / milk alternatives"", ""Sweet pastry / baked goods""]";Dinner
59;177;3895742862;South Africa;25/03/2019 16:07;At my home;"[""My spouse/partner""]";At my home;I had it at home / brought it from home;"[""Watching TV"", ""Browsing social media""]";Someone else prepared it;"[""Plain pasta"", ""Hard cheese""]";"[""Kids/ family like it""]";"[""Nothing""]";Lunch
60;178;3567951312;South Africa;16/02/2019 15:37;At someone else's home;"[""Other family members""]";At someone else's home;Other;"[""Watching TV""]";;"[""Plain rice"", ""Green salad "", ""Chicken""]";"[""It's a healthy choice""]";"[""Nothing""]";Lunch
61;183;1626255336;South Africa;31/01/2019 18:42;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Browsing social media""]";I prepared it myself from scratch;"[""Toast""]";"[""Quick""]";"[""Meat"", ""Vegetables""]";Dinner
62;184;6406976915;South Africa;11/06/2019 09:04;At my home;"[""My children""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Pork""]";"[""Easy to prepare""]";"[""Fruit""]";Dinner
63;186;2006613798;South Africa;28/05/2019 20:32;At my home;"[""My spouse/partner""]";At my home;;"[""On my phone""]";Someone else prepared it;"[""Beef""]";"[""Kids/ family like it""]";"[""Other dishes""]";Other
64;188;868490155;South Africa;08/06/2019 08:13;At my home;"[""Alone""]";At my home;Convenience Store / Small local supermarket;"[""Watching TV""]";It was premade / ready to eat;"[""Potato crisps""]";"[""I wanted a snack""]";"[""Potatoes""]";Snack
65;191;1254451320;South Africa;25/01/2019 08:38;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";I prepared it myself from scratch;"[""Cereal""]";"[""I was hungry""]";"[""Nothing""]";Breakfast
66;193;25539606320;South Africa;14/02/2019 17:27;At my home;"[""Other family members""]";At my home;Cafe / restaurant;"[""Watching TV""]";;"[""Muffins/ cupcakes"", ""Savoury pastry"", ""Savoury snacks""]";"[""Special occasion""]";"[""Nothing""]";Treat
67;196;3121214238;South Africa;28/03/2019 03:53;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Browsing social media""]";It was premade / ready to eat;"[""Other fruit""]";"[""I was hungry""]";"[""Fruit""]";Snack
68;197;20718740;South Africa;03/04/2019 19:43;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Fruit flavoured yoghurt""]";"[""I wanted something sweet""]";"[""Ice cream""]";Dinner
69;198;7018925456;South Africa;05/07/2019 19:08;At school / work;"[""Alone""]";At school / work;Convenience Store / Small local supermarket;"[""Browsing social media"", ""Listening to music""]";It was premade / ready to eat;"[""Instant noodles"", ""Bread/ roll/ baguette"", ""Potato crisps""]";"[""It's a healthy choice""]";"[""Sandwich / bagel / wrap""]";Breakfast
70;199;4356760622;South Africa;22/05/2019 08:49;At my home;"[""Alone""]";At my home;;"[""On my phone""]";Someone else prepared it;"[""Plain rice"", ""Other potatoes/ sweet potatoes"", ""Fried potatoes/ sweet potatoes"", ""Vegetable curry""]";"[""It's my habit / routine""]";"[""Nothing""]";Lunch
71;200;315680;South Africa;11/01/2019 11:48;At my home;"[""My children""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Crackers/ wafers""]";"[""It's a healthy choice"", ""Quick"", ""Cheap""]";"[""Nothing""]";Breakfast
72;202;3674885412;South Africa;28/03/2019 15:34;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Green salad "", ""Pasta with meat""]";"[""It's a healthy choice"", ""Quick"", ""Convenient""]";"[""Nothing""]";Lunch
73;211;6156007728;South Africa;25/05/2019 09:59;At my home;"[""My spouse/partner"", ""My children""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Crackers/ wafers""]";"[""I was hungry""]";"[""Breads""]";Snack
74;212;1325874;South Africa;21/05/2019 21:41;At my home;"[""My spouse/partner""]";At my home;;"[""Watching TV""]";I made it myself with some ready made ingredients;"[""Vegetable curry"", ""Meat noodles"", ""Mixed salad""]";"[""Quick"", ""I like the taste"", ""It's a healthy choice""]";"[""Nothing""]";Dinner
75;215;1251355336;South Africa;27/05/2019 12:12;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it myself from scratch;"[""Sandwich/ bagel"", ""Cured sausage""]";"[""Easy to prepare"", ""I like the taste"", ""I was hungry""]";"[""Rice / pasta / grains / pulses""]";Lunch
76;217;3762083690;South Africa;20/02/2019 23:03;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Plain pasta"", ""Other grains""]";"[""It looked good"", ""It's refreshing""]";"[""Nothing""]";Dinner
77;218;0;South Africa;31/01/2019 19:24;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Sandwich/ bagel""]";"[""I like the taste"", ""Easy to prepare""]";"[""Rice / pasta / grains / pulses""]";Breakfast
78;221;3022498026;South Africa;27/03/2019 21:01;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Fudge/ nougat""]";"[""I wanted something sweet""]";"[""Nothing""]";Treat
79;224;703002446;South Africa;30/03/2019 15:42;At my home;"[""Other family members""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Savoury pastry""]";"[""I wanted a snack""]";"[""Nothing""]";Treat
80;231;3585096000;South Africa;29/03/2019 11:55;On the go / outdoors;"[""Alone""]";On the go / outdoors;Supermarket / Hypermarket / Grocery Store ;"[""Driving""]";Someone else prepared it;"[""Other meat""]";"[""Other""]";"[""Nothing""]";Dinner
81;233;836133400;South Africa;04/02/2019 17:47;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Browsing the internet""]";Someone else prepared it;"[""Bread/ roll/ baguette"", ""Vegetable curry""]";"[""It's my habit / routine""]";"[""Nothing""]";Dinner
82;234;6043849812;South Africa;25/05/2019 09:59;At my home;"[""Alone""]";At my home;;"[""Nothing""]";I prepared it together with friends / family;"[""Rice with meat "", ""Shellfish"", ""Meat soup"", ""Bread/ roll/ baguette""]";"[""It's my habit / routine""]";"[""Rice / pasta / grains / pulses""]";Lunch
83;238;6471840;South Africa;22/02/2019 13:02;At my home;"[""Alone""]";At my home;Other;"[""Watching TV""]";;"[""Apples and pears"", ""Tropical and exotic fruit"", ""Citrus fruit""]";"[""It's a healthy choice""]";"[""Nothing""]";Snack
84;239;6947938095;South Africa;22/07/2019 04:43;On the go / outdoors;"[""My children""]";On the go / outdoors;;"[""Playing games""]";I prepared it myself from scratch;"[""Tropical and exotic fruit"", ""Cake""]";"[""Easy to prepare""]";"[""Nothing""]";Snack
85;240;1485721965;South Africa;02/05/2019 10:36;At my home;"[""My spouse/partner"", ""Friends""]";At my home;;"[""Watching TV""]";Someone else prepared it;"[""Beans""]";"[""I was hungry"", ""It's a healthy choice"", ""I like the taste""]";"[""Nothing""]";Lunch
86;241;2286448;South Africa;02/05/2019 10:57;At school / work;"[""Alone""]";At school / work;Work / school cafeteria;"[""Working / studying""]";It was premade / ready to eat;"[""Tropical and exotic fruit""]";"[""I was hungry"", ""I wanted something sweet"", ""It's a healthy choice""]";"[""Nothing""]";Snack
87;244;5077701707;South Africa;02/05/2019 04:29;At my home;"[""Alone""]";At my home;;"[""Relaxing / laying down""]";I prepared it myself from scratch;"[""Sandwich/ bagel""]";"[""I was hungry""]";"[""Breads""]";Snack
88;245;3299605806;South Africa;23/08/2019 09:40;At someone else's home;"[""My spouse/partner""]";At someone else's home;Supermarket / Hypermarket / Grocery Store ;"[""Talking to someone""]";It was premade / ready to eat;"[""Soft desserts""]";"[""I had a craving""]";"[""Dairy""]";Snack
89;248;6037937474;South Africa;27/05/2019 07:58;At my home;"[""My children""]";At my home;;"[""Browsing social media""]";I prepared it together with friends / family;"[""Plain rice"", ""Vegetable curry"", ""Other potatoes/ sweet potatoes""]";"[""It's a healthy choice""]";"[""Carbonated soft drink""]";Lunch
90;249;1382112000;South Africa;09/07/2019 19:04;At school / work;"[""Alone""]";At school / work;;"[""Nothing""]";I ordered take out from a restaurant / cafe;"[""Protein bar""]";"[""Convenient"", ""It's a healthy choice""]";"[""Nothing""]";Snack
91;254;2855551650;South Africa;03/04/2019 20:44;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Relaxing / laying down""]";It was premade / ready to eat;"[""Fruit flavoured yoghurt""]";"[""It's light / not filling"", ""I like the taste""]";"[""Nothing""]";Snack
92;255;3729188155;South Africa;28/02/2019 14:44;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Working / studying""]";I prepared it myself from scratch;"[""Sandwich/ bagel""]";"[""I was hungry""]";"[""Nothing""]";Breakfast
93;256;2940815050;South Africa;09/02/2019 12:06;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Browsing the internet""]";It was premade / ready to eat;"[""Biscuits with filling""]";"[""It's what I wanted""]";"[""Nothing""]";Treat
94;258;632454444;South Africa;21/02/2019 07:02;At school / work;"[""Alone""]";At school / work;Supermarket / Hypermarket / Grocery Store ;"[""Checking emails""]";It was premade / ready to eat;"[""Hard cheese""]";"[""I was hungry"", ""I like the taste""]";"[""Nothing""]";Breakfast
95;259;1556726119;South Africa;29/01/2019 20:23;At my home;"[""My spouse/partner""]";At my home;Other;"[""Watching TV""]";I prepared it myself from scratch;"[""Egg-based dish"", ""Green salad "", ""Hard cheese"", ""Bread/ roll/ baguette""]";"[""Easy to prepare""]";"[""Nothing""]";Dinner
96;264;1484030416;South Africa;28/05/2019 16:52;At my home;"[""My spouse/partner""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Potato crisps""]";"[""I wanted a snack""]";"[""Potatoes""]";Snack
97;265;4016462262;South Africa;01/06/2019 11:19;At my home;"[""Alone""]";At my home;;"[""Watching TV""]";I prepared it together with friends / family;"[""Mixed salad""]";"[""I like the taste""]";"[""Vegetables""]";Dinner
98;266;2090252604;South Africa;30/03/2019 14:25;At my home;"[""My spouse/partner"", ""My children""]";At my home;I had it at home / brought it from home;"[""Browsing social media""]";Someone else prepared it;"[""Mixed salad"", ""Savoury pastry""]";"[""I wanted a snack""]";"[""Nothing""]";Snack
99;268;3433155914;South Africa;01/05/2019 23:28;At my home;"[""My spouse/partner""]";At my home;;"[""Watching TV"", ""Browsing social media""]";I ordered take out from a restaurant / cafe;"[""Cheese pizza""]";"[""It's what I wanted""]";"[""Juice / juice drinks""]";Dinner
